"행정구역별","항목",2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023
"행정구역별","항목",계,30대이하,40대,50대,60대,70대이상,계,30대이하,40대,50대,60대,70대이상,계,30대이하,40대,50대,60대,70대이상,계,30대이하,40대,50대,60대,70대이상,계,30대이하,40대,50대,60대,70대이상,계,30대이하,40대,50대,60대,70대이상
"강릉시","귀농가구원수 (명)",129,34,15,43,32,5,100,24,21,33,18,4,84,19,12,27,21,5,94,19,17,23,24,11,88,23,9,22,29,5,60,11,X,23,20,4
"강릉시","귀농인수 (명)",75,8,12,28,23,4,57,6,12,26,12,X,59,5,11,23,16,4,64,9,11,18,21,5,63,10,7,18,25,X,44,8,X,18,15,X
"강릉시","동반가구원수 (명)",54,26,X,15,9,X,43,18,9,7,6,X,25,14,X,4,5,X,30,10,6,5,X,6,25,13,X,4,4,X,16,X,X,5,5,X
"삼척시","귀농가구원수 (명)",50,8,5,16,19,X,56,11,8,21,12,4,44,6,5,15,16,X,65,10,4,28,21,X,53,4,6,19,18,6,30,5,X,11,8,X
"삼척시","귀농인수 (명)",35,X,5,14,13,X,41,5,5,17,10,4,36,X,4,13,15,X,44,0,4,21,17,X,41,X,5,16,14,5,22,X,X,8,7,X
"삼척시","동반가구원수 (명)",15,6,0,X,6,X,15,6,X,4,X,0,8,4,X,X,X,0,21,10,0,7,4,0,12,X,X,X,4,X,8,X,0,X,X,X
"홍천군","귀농가구원수 (명)",192,34,19,85,44,10,163,31,17,58,48,9,171,32,14,61,53,11,229,28,31,63,91,16,155,9,11,57,60,18,130,15,7,38,56,14
"홍천군","귀농인수 (명)",131,9,15,72,32,X,120,11,15,47,41,6,131,13,12,54,44,8,163,7,25,50,73,8,130,8,10,50,50,12,102,6,7,32,47,10
"홍천군","동반가구원수 (명)",61,25,4,13,12,7,43,20,X,11,7,X,40,19,X,7,9,X,66,21,6,13,18,8,25,X,X,7,10,6,28,9,0,6,9,4
"횡성군","귀농가구원수 (명)",187,16,23,82,55,11,178,25,21,68,46,18,157,15,6,56,59,21,173,27,20,48,65,13,122,14,13,40,47,8,136,16,13,44,45,18
"횡성군","귀농인수 (명)",133,4,16,66,39,8,123,4,15,56,36,12,118,8,5,45,44,16,131,11,17,40,53,10,99,6,11,34,43,5,101,7,10,34,39,11
"횡성군","동반가구원수 (명)",54,12,7,16,16,X,55,21,6,12,10,6,39,7,X,11,15,5,42,16,X,8,12,X,23,8,X,6,4,X,35,9,X,10,6,7
"영월군","귀농가구원수 (명)",126,25,15,46,31,9,80,12,14,23,29,X,79,6,7,31,32,X,102,18,11,38,30,5,104,12,8,36,40,8,82,5,4,30,36,7
"영월군","귀농인수 (명)",90,8,11,39,23,9,61,5,14,18,23,X,63,X,6,27,27,X,78,8,9,32,24,5,77,X,5,32,33,5,66,4,4,25,29,4
"영월군","동반가구원수 (명)",36,17,4,7,8,0,19,7,0,5,6,X,16,5,X,4,5,X,24,10,X,6,6,0,27,10,X,4,7,X,16,X,0,5,7,X
"평창군","귀농가구원수 (명)",140,23,16,60,34,7,90,21,11,22,27,9,121,17,11,37,43,13,112,25,14,37,28,8,131,15,12,41,52,11,87,16,5,23,41,X
"평창군","귀농인수 (명)",103,9,15,45,29,5,61,7,11,16,22,5,95,8,10,32,34,11,85,10,12,34,22,7,103,7,8,34,44,10,66,10,4,17,33,X
"평창군","동반가구원수 (명)",37,14,X,15,5,X,29,14,0,6,5,4,26,9,X,5,9,X,27,15,X,X,6,X,28,8,4,7,8,X,21,6,X,6,8,0
"정선군","귀농가구원수 (명)",96,15,8,42,28,X,103,14,9,44,28,8,108,18,13,33,37,7,81,9,12,34,26,0,79,9,8,27,29,6,42,X,4,11,21,4
"정선군","귀농인수 (명)",74,6,8,36,22,X,82,8,8,39,23,4,71,5,9,23,31,X,65,4,10,27,24,0,64,4,7,23,25,5,37,X,4,10,18,4
